Pais,"PIB per capita, precios actuales (dolares)",Indice Satisfaccion
Alemania,40996.51,7
Australia,50961.87,7.3
Austria,43724.03,7.1
Belgica,40106.63,6.9
Canada,43331.96,7.4
Chile,13340.91,6.5
Republica Checa,17256.92,6.7
Dinamarca,52114.17,7.6
Estonia,17288.08,5.7
Finlandia,41973.99,7.6
Francia,37675.01,6.5
Grecia,18064.29,5.4
Hungria,12239.89,5.6
Islandia,50854.58,7.5
Irlanda,51350.74,7
Israel,35343.34,7.2
Italia,29866.58,6
Japon,32485.55,5.9
Korea,27195.20,5.9
Letonia,13618.57,5.9
Lituania,14210.28,5.9
Luxenburgo,101994.09,6.9
Mexico,9009.28,6.5
Países Bajos,43603.12,7.4
Nueva Zelanda,37044.89,7.3
Noruega,74822.11,7.6
Polonia,12495.33,6.1
Portugal,19121.59,5.4
Republica Eslovaca,15991.74,6.2
Eslovenia,20732.48,5.9
España,25864.72,6.3
Suiza,80675.31,7.5
Suecia,49866.27,7.3
Turquia,9437.37,5.5
Reino Unido,43770.69,6.8
Estados Unidos,55805.20,6.9
Brasil,8670.00,6.4
Colombia,6083.51,6.3
Rusia,9054.91,5.8
Sudafrica,5694.57,4.7
Argentina,"13,588.84",0.0